	P_C2R02	P_bablabjr011	P_donghaensis_HJ51	P_lipolytica_CSB02KR	P_lipolytica_LMEB39	P_N12309	P_CO133X	P_CO302Y	P_OFAV1	P_Ps84H4	P_MEBiC03607	P_APAL1	P_bablabjr004	P_SCSIO43101	P_FE4	P_M1318928	P_Hal040	P_gelatinilytica_NH153	P_porphyrae_MNAD16	P_PA2MD11	P_BZK2	P_MB47	P_bablabjr010	P_Cn537	P_ACER1	P_PAST1	P_SDCH90	P_303	P_shioyasakiensis_BMC4	P_B7P1	P_BZA4	P_shioyasakiensis_28	P_shioyasakiensis_BMC2	P_shioyasakiensis_BMC3	P_shioyasakiensis_BMC5	P_2102	P_2103	P_802	P_D15MCD2	P_shioyasakiensis_M1400201	P_126	P_P18	P_shioyasakiensis_LC2	P_SCSIO43088	P_shioyasakiensis_G21653S1	P_CnMc737	P_CO109Y	P_neustronica_PAMC28425	P_ostereae_hOe125	P_ostereae_hOe124	P_ostereae_hOe66	P_SG415	P_SG436	P_SR456	P_SG418	P_SR416	P_SG437	P_SR445	P_SG412	P_SG441	P_rhizosphaerae_hCg42	P_SR414	P_neustronica_SM1927	P_SG411	P_SR448	P_SG448	P_SG4417	P_SR418	P_2CM36K	P_tetradonis_CSB01KR	P_kknpp56	P_SCSIO	P_SCSIO11900	P_S3173	P_SiA1	P_S3260	P_SK20	P_SK18	P_Scap03	P_scap25	P_scap26	P_undina_NEM01	P_undina_NEM02	P_1161b	P_undina_DSM6065	P_2CM32C	P_ECSMB14103	P_APM04	P_DSM	P_17a	P_1131a	P_125	P_1CM17D	P_agarivorans_DSM14585	P_130	P_P111	P_2CM37A	P_2CM41L	P_agarivorans_S816	P_agarivorans_NW4327	P_S2893	P_espejiana_DSM9414	P_NBRC102222	P_NBRC12985	P_S3178	P_translucida_KMM520	P_KMM661	P_SG445	P_SR454	P_aliena_SW19	P_aliena_EH1	P_SG416	P_SG444	P_SG455	P_fuliginea_KMM216	P_fuliginea_S2292	P_AC163	P_TB25	P_distincta_22A13	P_distincta_KMM3548	P_distincta_16SW7	P_distincta_ATCC700518	P_distincta_LMG14908	P_SG453	P_SG456	P_SG431	P_SG452	P_SG433	P_SR417	P_SG435	P_SG434	P_SR435	P_SR433	P_SR451	P_SR411	P_SG451	P_SR455	P_SR442	P_EKP108	P_SR432	P_SR437	P_SR415	P_SG438	P_SR436	P_arctica_NECBIFX0059	P_EB27	P_arctica_A3712	P_arctica_NECBIFX2020001	P_arctica_NECBIFX2020017	P_tunicata_D2	P_xiamenensis_PSDB	P_spongiae_SAO44	P_spongiae_UST010723006	P_MMG024	P_P19	P_G4	P_piratica_OCN003	P_CO325X	P_SW010604	P_MM172	P_ruthenica_S2756	P_ruthenica_LMG19699	P_ruthenica_S3245	P_CnMc713	P_CnMc715	P_CNC920	P_CNAT218	P_CNAT2181	P_CNAT241	P_aurantia_208	P_citrea_DSM8771	P_citrea_S2231	P_citrea_S2233	P_aurantia_S3790	P_aurantia_S3788	P_aurantia_S3895	P_A25	P_amylolytica_JW1	P_JW3	P_phenolica_S3898	P_phenolica_S1093	P_phenolica_S1189	P_phenolica_KCTC12086	P_phenolica_OBC302	P_BZB3	P_phenolica_S3663	P_SMS1	P_B95	P_P94	P_luteoviolacea_2ta16	P_Of7M16	P_McH142	P_PPB1	P_rubra_DSM6842	P_R96	P_rubra_SCSIO_6842	P_XMcav2N	P_XMcav2N2	P_OOF1S7	P_DL2H22	P_rubra_S2471	P_rubra_S1946	P_viridis_BBR56	P_UG31	P_UG32	P_peptidolytica_F1250A1	P_peptidolytica_DSM14001	P_peptidolytica_NBRC101021	P_McH17	P_SCSIO43201	P_galatheae_S4498	P_M1400202	P_OANN1	P_flavipulchra_S1925	P_NJ631	P_A22	P_flavipulchra_SCSIO43202	P_flavipulchra_NCIMB2033	P_flavipulchra_ATCCBAA314	P_flavipulchra_LMG20361	P_CO342X	P_maricaloris_LMG19692	P_BMB	P_CO348	P_OF7H1	P_HMSA03	P_JC28	P_M8	P_XMcav11Q	P_JC3	P_JC31	P_Of11M6	P_DL2H6	P_DL2H1	P_OF5H5	P_Of5H6
P_ACER1	0.777383	0.842947	0.83796	0.834378	0.835961	0.869628	0.869475	0.869473	0.892573	0.899905	0.893259	0.894649	0.893422	0.905567	0.904318	0.904777	0.923996	0.924323	0.924677	0.975938	0.980126	0.982328	0.982098	0.982747	1	0.999897	0.934592	0.938383	0.939038	0.941909	0.941342	0.939173	0.93874	0.938718	0.938585	0.938901	0.939069	0.938754	0.938447	0.939555	0.938627	0.93858	0.939945	0.937817	0.93864	0.940567	0.938561	0.797047	0.794788	0.795655	0.79622	0.802552	0.795899	0.794445	0.795277	0.795512	0.798354	0.795097	0.795343	0.794872	0.799007	0.796345	0.798642	0.801858	0.796236	0.79508	0.795073	0.794747	0.800463	0.798341	0.800613	0.799937	0.799094	0.798416	0.798277	0.799587	0.801065	0.797961	0.794639	0.794943	0.795029	0.795402	0.795192	0.795351	0.79708	0.794037	0.793691	0.797015	0.796047	0.794785	0.796278	0.796923	0.798248	0.799134	0.796635	0.79877	0.797715	0.798047	0.801324	0.797876	0.797544	0.795934	0.796207	0.795135	0.796601	0.79484	0.796948	0.792893	0.794	0.793317	0.792483	0.792623	0.792533	0.792896	0.793632	0.793344	0.796941	0.797361	0.794366	0.795718	0.793805	0.795767	0.795206	0.799726	0.799438	0.794028	0.795458	0.796947	0.792817	0.795981	0.795566	0.793641	0.796525	0.794333	0.793656	0.793963	0.793769	0.794314	0.792966	0.7937	0.79388	0.794667	0.79445	0.795153	0.792552	0.793682	0.79763	0.794688	0.794261	0.778742	0.780039	0.787316	0.783803	0.785298	0.781017	0.783221	0.78726	0.782026	0.792462	0.784728	0.783638	0.783907	0.787999	0.783606	0.784187	0.790685	0.789282	0.788896	0.788957	0.787423	0.787066	0.783977	0.784151	0.786221	0.786034	0.786225	0.787635	0.791581	0.793056	0.786806	0.787001	0.787778	0.787028	0.787073	0.785686	0.789655	0.783901	0.783923	0.782972	0.786048	0.786587	0.782691	0.780999	0.783794	0.782716	0.783568	0.787096	0.786038	0.784422	0.784339	0.78156	0.788594	0.798357	0.784255	0.782965	0.785062	0.782704	0.783848	0.783609	0.78398	0.789741	0.785525	0.786688	0.784708	0.783357	0.786765	0.786644	0.786471	0.785661	0.785714	0.786307	0.79239	0.785789	0.783319	0.796462	0.787226	0.788081	0.798177	0.78355	0.795386	0.796029	0.785131	0.787331	0.789025	0.788154	0.787246
P_PAST1	0.777658	0.843401	0.839129	0.834904	0.836606	0.869109	0.867992	0.868228	0.891958	0.898322	0.893172	0.894677	0.892391	0.904915	0.904396	0.904155	0.923564	0.924949	0.924069	0.976511	0.980635	0.982425	0.982758	0.983036	0.999921	1	0.934275	0.93862	0.938905	0.941676	0.941265	0.939064	0.938788	0.938767	0.938257	0.938305	0.938335	0.938432	0.938777	0.939848	0.939162	0.938952	0.939754	0.937046	0.938718	0.940744	0.938431	0.796609	0.795083	0.795755	0.79503	0.803252	0.795743	0.794781	0.795039	0.794721	0.797983	0.795645	0.795628	0.79621	0.798736	0.796066	0.798079	0.801228	0.795061	0.794812	0.795081	0.794429	0.79813	0.797516	0.798826	0.798992	0.79811	0.79877	0.798453	0.799187	0.801329	0.798297	0.795042	0.794669	0.795155	0.793952	0.794299	0.79539	0.796474	0.792759	0.793283	0.797931	0.795705	0.794392	0.79505	0.796172	0.798551	0.798796	0.798068	0.798041	0.797642	0.797481	0.799683	0.79739	0.796902	0.796824	0.795472	0.795261	0.795314	0.795366	0.797009	0.792804	0.793933	0.793094	0.793233	0.791711	0.792538	0.79257	0.791226	0.79107	0.79731	0.797376	0.793832	0.795218	0.793445	0.79518	0.79518	0.799827	0.799332	0.793746	0.794951	0.79605	0.793675	0.795835	0.796053	0.793681	0.796645	0.794214	0.793438	0.794271	0.792921	0.793102	0.792753	0.793314	0.793521	0.793643	0.79357	0.794266	0.792021	0.792884	0.796739	0.79426	0.793083	0.780233	0.779076	0.788047	0.783876	0.785793	0.78241	0.7836	0.786145	0.782756	0.790662	0.782456	0.784821	0.782468	0.787104	0.781519	0.780824	0.788645	0.787578	0.78741	0.788367	0.786722	0.786775	0.782886	0.784361	0.785537	0.785813	0.785572	0.78576	0.787233	0.788389	0.785308	0.785954	0.78581	0.787631	0.787785	0.786001	0.791049	0.785586	0.784057	0.782797	0.784467	0.785344	0.781168	0.782414	0.784175	0.783092	0.783769	0.786335	0.784146	0.782915	0.783253	0.780642	0.79004	0.797749	0.784873	0.784142	0.784857	0.782875	0.783475	0.783542	0.784829	0.787732	0.784116	0.786039	0.784048	0.782385	0.786614	0.786726	0.786794	0.786643	0.786835	0.786341	0.791441	0.784577	0.784173	0.79779	0.788084	0.787857	0.798992	0.784454	0.796094	0.797034	0.785729	0.788358	0.789935	0.789766	0.788738
P_SDCH90	0.773819	0.838389	0.837878	0.8357	0.836987	0.871902	0.87047	0.87041	0.89782	0.899741	0.900292	0.897909	0.897864	0.915944	0.916327	0.915192	0.933259	0.931586	0.929751	0.934423	0.935339	0.936021	0.933436	0.933925	0.934399	0.934708	1	0.954783	0.955153	0.956642	0.956635	0.957266	0.956317	0.956318	0.956222	0.956624	0.956526	0.956353	0.955781	0.955129	0.955091	0.955553	0.956162	0.956035	0.957191	0.956022	0.956447	0.79603	0.800505	0.798451	0.797472	0.796821	0.795179	0.796291	0.796262	0.797106	0.796013	0.797362	0.796341	0.796276	0.798246	0.796211	0.796907	0.801657	0.794417	0.794583	0.795279	0.795853	0.797993	0.796048	0.79704	0.798165	0.798839	0.794098	0.796479	0.796104	0.794884	0.797972	0.799096	0.798887	0.799597	0.799491	0.799805	0.79612	0.800657	0.794832	0.795295	0.798849	0.79618	0.795397	0.796171	0.797159	0.795994	0.798397	0.797072	0.797097	0.795917	0.796151	0.79632	0.798691	0.797055	0.800313	0.797322	0.79429	0.797204	0.796191	0.79579	0.793272	0.793868	0.794941	0.79765	0.792973	0.79268	0.793294	0.792495	0.791977	0.793433	0.793369	0.792524	0.79584	0.796689	0.793912	0.793211	0.794584	0.793806	0.794922	0.794633	0.794557	0.793439	0.794928	0.794506	0.793959	0.795274	0.794935	0.794983	0.795022	0.792804	0.794264	0.793552	0.794657	0.794201	0.792894	0.793377	0.794144	0.794075	0.793214	0.797602	0.79493	0.793655	0.787733	0.789136	0.790219	0.786427	0.785127	0.782225	0.782654	0.789172	0.782292	0.783126	0.786326	0.783576	0.787837	0.78318	0.783678	0.783262	0.78353	0.781876	0.781448	0.782047	0.786819	0.789453	0.785721	0.787415	0.784769	0.782818	0.783123	0.791756	0.791762	0.792516	0.784321	0.78631	0.787673	0.791515	0.790494	0.786395	0.784623	0.78558	0.784746	0.78133	0.784064	0.782613	0.784301	0.784379	0.787151	0.78062	0.787837	0.787528	0.786747	0.78458	0.783428	0.782952	0.784325	0.801749	0.793764	0.792467	0.785943	0.78497	0.783829	0.784328	0.790434	0.788444	0.78475	0.786652	0.784651	0.783515	0.791972	0.791566	0.788461	0.788655	0.786186	0.786292	0.785538	0.785531	0.784602	0.798816	0.787605	0.785479	0.806309	0.785219	0.796349	0.803818	0.783093	0.784082	0.784075	0.78468	0.783827
P_303	0.77349	0.844055	0.843138	0.83776	0.837993	0.870252	0.869602	0.869521	0.89875	0.900829	0.899384	0.898625	0.896919	0.913379	0.914104	0.913852	0.934792	0.934643	0.933461	0.939222	0.939892	0.939605	0.938499	0.938952	0.938879	0.939127	0.95574	1	0.999964	0.97217	0.972213	0.974903	0.973747	0.973299	0.97366	0.973995	0.974035	0.973504	0.963272	0.963065	0.962498	0.962845	0.962402	0.963917	0.967471	0.96649	0.967084	0.797134	0.796992	0.797612	0.797364	0.807029	0.79606	0.797221	0.797618	0.797145	0.796311	0.797744	0.797329	0.795988	0.796813	0.797399	0.797628	0.801489	0.796869	0.798251	0.796987	0.797157	0.796956	0.796582	0.79759	0.796051	0.797258	0.79587	0.795243	0.797073	0.795216	0.796861	0.796575	0.796205	0.795899	0.796533	0.796251	0.79687	0.798204	0.796753	0.795451	0.794879	0.79661	0.797737	0.797834	0.798384	0.797974	0.798743	0.796298	0.796739	0.796694	0.797367	0.796757	0.798507	0.798131	0.798979	0.798638	0.79648	0.797985	0.795302	0.792671	0.79479	0.793789	0.793044	0.792535	0.794263	0.794277	0.793618	0.793105	0.793181	0.794258	0.793442	0.793914	0.794924	0.79525	0.794787	0.794321	0.79405	0.794582	0.794543	0.795021	0.796226	0.797028	0.7954	0.795976	0.794618	0.795723	0.795415	0.795887	0.795451	0.794274	0.794507	0.793708	0.795122	0.794609	0.794043	0.793794	0.79446	0.795331	0.794125	0.795595	0.794889	0.795032	0.778823	0.784324	0.781375	0.783412	0.785317	0.782125	0.784312	0.780232	0.782222	0.782437	0.782838	0.781992	0.781568	0.781336	0.782472	0.78183	0.781772	0.781654	0.780769	0.781283	0.783733	0.785052	0.785675	0.786084	0.78847	0.787894	0.787392	0.78778	0.788424	0.789291	0.782779	0.785749	0.785955	0.788103	0.788412	0.785636	0.785567	0.783454	0.782155	0.781597	0.782747	0.785015	0.781079	0.781457	0.784054	0.782613	0.781924	0.781459	0.781489	0.781779	0.78178	0.783624	0.783346	0.797877	0.783132	0.783116	0.786882	0.786067	0.786053	0.785195	0.785378	0.783685	0.785557	0.783249	0.783616	0.782112	0.785742	0.784044	0.785193	0.784855	0.784294	0.786316	0.78458	0.783016	0.785089	0.796462	0.783864	0.785344	0.796683	0.784984	0.79545	0.795494	0.783446	0.784247	0.784951	0.784243	0.784619
P_shioyasakiensis_BMC4	0.773743	0.843014	0.84283	0.836748	0.837705	0.870244	0.869516	0.869425	0.897994	0.901034	0.899696	0.898589	0.897615	0.913479	0.914425	0.913763	0.934981	0.934372	0.933175	0.938929	0.939383	0.938815	0.939301	0.938848	0.938253	0.938554	0.955533	0.999811	1	0.972715	0.9729	0.974591	0.973439	0.973857	0.973807	0.973939	0.973889	0.973533	0.963264	0.964065	0.962091	0.962432	0.962597	0.963819	0.967428	0.966699	0.966361	0.796668	0.797658	0.797916	0.798277	0.805598	0.7964	0.796288	0.796982	0.797225	0.796692	0.79731	0.796628	0.796197	0.796398	0.79667	0.796479	0.800122	0.796054	0.796631	0.796413	0.795981	0.799285	0.798596	0.798607	0.797122	0.799231	0.795178	0.795859	0.79866	0.797602	0.796725	0.795816	0.796192	0.796098	0.796427	0.796036	0.795964	0.797148	0.797194	0.79594	0.795169	0.796637	0.798089	0.79811	0.799771	0.798155	0.798567	0.797066	0.797746	0.797477	0.797649	0.796628	0.799794	0.79849	0.800198	0.798907	0.796567	0.79877	0.795674	0.793513	0.794829	0.794128	0.792619	0.794019	0.794932	0.795213	0.79501	0.794653	0.794075	0.795019	0.794223	0.794805	0.795742	0.796988	0.795552	0.795265	0.795319	0.796012	0.796083	0.796539	0.797401	0.796481	0.796928	0.795984	0.795863	0.796611	0.795936	0.796513	0.795793	0.796939	0.795315	0.794849	0.79539	0.795678	0.795466	0.794507	0.79549	0.795853	0.794945	0.796421	0.795864	0.795808	0.77702	0.784438	0.781365	0.783386	0.782453	0.78189	0.783172	0.779496	0.780406	0.779762	0.781612	0.780703	0.779482	0.779235	0.780268	0.780959	0.781168	0.780424	0.780414	0.780262	0.784058	0.784052	0.785746	0.786567	0.785817	0.784161	0.783691	0.786555	0.785812	0.786485	0.784999	0.786246	0.786994	0.786826	0.786964	0.785138	0.787073	0.784481	0.78668	0.782646	0.783384	0.784101	0.78007	0.780396	0.782945	0.781921	0.780903	0.78363	0.783118	0.783185	0.782083	0.782722	0.785334	0.797146	0.781934	0.781143	0.784574	0.783895	0.784012	0.783541	0.783672	0.782056	0.783654	0.781406	0.780729	0.779842	0.782259	0.780716	0.782723	0.78249	0.78237	0.782828	0.780117	0.779235	0.780529	0.792874	0.781554	0.781546	0.794251	0.7825	0.791981	0.792699	0.78159	0.780909	0.782143	0.781205	0.780735
P_B7P1	0.776245	0.845062	0.841162	0.83662	0.837565	0.872695	0.870957	0.871051	0.897553	0.904462	0.897621	0.900529	0.897615	0.913996	0.913957	0.913757	0.934989	0.935985	0.933837	0.938878	0.938648	0.938612	0.938856	0.943104	0.941988	0.942652	0.956887	0.972475	0.972381	1	0.999955	0.976799	0.975405	0.975538	0.975768	0.975678	0.975443	0.975469	0.963917	0.962787	0.962871	0.963742	0.964616	0.96531	0.96805	0.967897	0.968292	0.797403	0.797498	0.797995	0.797685	0.804017	0.797428	0.797172	0.797225	0.797584	0.800319	0.797149	0.797544	0.797003	0.801825	0.796542	0.800191	0.803219	0.797411	0.796193	0.796047	0.797343	0.802574	0.80149	0.802527	0.802918	0.802146	0.800936	0.801487	0.804104	0.801346	0.801589	0.797846	0.798839	0.798873	0.797675	0.79752	0.799586	0.798464	0.79516	0.795518	0.799537	0.799674	0.797252	0.79885	0.799244	0.799393	0.800572	0.798472	0.800835	0.798225	0.799565	0.803452	0.799483	0.798368	0.80053	0.800603	0.798596	0.798613	0.794794	0.797177	0.795221	0.796063	0.79258	0.792227	0.792493	0.793087	0.792775	0.792929	0.792883	0.796801	0.796401	0.79433	0.796855	0.7966	0.796655	0.797452	0.800676	0.800914	0.796919	0.796008	0.797012	0.795479	0.795163	0.796693	0.7959	0.796061	0.794908	0.796447	0.796186	0.79528	0.795741	0.794794	0.79448	0.795433	0.794788	0.794692	0.7952	0.795829	0.796128	0.798044	0.797809	0.795941	0.780269	0.78348	0.78644	0.780694	0.784629	0.784057	0.785616	0.784101	0.780593	0.791572	0.783238	0.781115	0.781924	0.789694	0.782496	0.782738	0.787547	0.787883	0.787279	0.787189	0.786413	0.789369	0.785887	0.785725	0.78461	0.784316	0.783492	0.789315	0.789613	0.789899	0.78864	0.787792	0.787921	0.789103	0.789622	0.787527	0.792966	0.785504	0.788992	0.784544	0.787342	0.788574	0.781676	0.782942	0.787463	0.785485	0.784254	0.784562	0.784728	0.782841	0.784051	0.784508	0.787171	0.796085	0.785294	0.785309	0.78643	0.786098	0.785407	0.785914	0.786448	0.790151	0.785508	0.787261	0.786333	0.784201	0.788008	0.787885	0.78732	0.788609	0.786986	0.788846	0.796588	0.785288	0.785913	0.79791	0.787162	0.789262	0.799947	0.785687	0.796099	0.797168	0.786485	0.788589	0.790786	0.789946	0.789685
P_BZA4	0.774447	0.846972	0.842699	0.837006	0.83802	0.872585	0.870779	0.870952	0.897612	0.904109	0.898177	0.900939	0.897606	0.913544	0.91357	0.912793	0.934961	0.935503	0.933611	0.939283	0.938526	0.938372	0.939138	0.94299	0.941329	0.941105	0.957245	0.972469	0.972478	0.999929	1	0.977231	0.97517	0.975405	0.97555	0.975522	0.97488	0.975294	0.964019	0.962395	0.963623	0.963674	0.963857	0.965194	0.968245	0.967954	0.968077	0.796855	0.798613	0.798126	0.797758	0.804958	0.796606	0.796921	0.796743	0.797209	0.800064	0.797174	0.797645	0.796358	0.802043	0.796462	0.799234	0.80333	0.797247	0.796848	0.796391	0.797191	0.803522	0.801617	0.802004	0.80323	0.802073	0.800235	0.801463	0.803077	0.802204	0.801743	0.797606	0.798223	0.798392	0.797099	0.79686	0.797922	0.797338	0.794925	0.794999	0.798877	0.799404	0.797418	0.799131	0.798464	0.799985	0.800595	0.799158	0.801636	0.799374	0.799511	0.803602	0.800715	0.798669	0.800258	0.800123	0.797538	0.799032	0.795399	0.796184	0.79514	0.795309	0.792447	0.792699	0.79349	0.792977	0.793027	0.794597	0.7948	0.796873	0.797207	0.794585	0.796846	0.796331	0.797476	0.798138	0.800795	0.801155	0.796564	0.796375	0.798449	0.795882	0.796415	0.796618	0.796372	0.795781	0.795221	0.79588	0.797044	0.794331	0.796454	0.796121	0.794657	0.795779	0.794568	0.79441	0.795709	0.796334	0.79654	0.799581	0.797285	0.797734	0.780433	0.782807	0.7868	0.782216	0.784901	0.784597	0.784768	0.782778	0.780326	0.789252	0.783056	0.781205	0.780772	0.788253	0.780437	0.78121	0.786741	0.787442	0.787918	0.787714	0.787341	0.788107	0.785646	0.785758	0.78519	0.786144	0.784659	0.787474	0.789411	0.788779	0.786811	0.785956	0.787624	0.789599	0.789623	0.787032	0.791442	0.786054	0.788495	0.783818	0.786938	0.788102	0.781362	0.782373	0.785837	0.785743	0.783083	0.784701	0.784865	0.784485	0.785199	0.784551	0.787386	0.794828	0.785382	0.785293	0.784807	0.783594	0.783565	0.784782	0.785391	0.788732	0.784928	0.787597	0.787857	0.784533	0.788343	0.788335	0.787324	0.78809	0.786668	0.788189	0.79508	0.785946	0.785737	0.798947	0.787812	0.790011	0.802233	0.786683	0.797049	0.79955	0.787311	0.788819	0.790015	0.788465	0.789482
P_shioyasakiensis_28	0.777388	0.836251	0.840011	0.83551	0.837836	0.873378	0.871986	0.871906	0.899741	0.89848	0.899355	0.89935	0.898557	0.914565	0.91577	0.915058	0.935754	0.937346	0.936675	0.938186	0.93977	0.939923	0.938508	0.938639	0.939326	0.939205	0.957261	0.975188	0.974722	0.976811	0.977228	1	0.981327	0.981301	0.981071	0.981752	0.981678	0.981367	0.963765	0.963693	0.964679	0.963432	0.963878	0.966072	0.969672	0.969312	0.969228	0.797645	0.796523	0.79687	0.796066	0.79561	0.794662	0.795287	0.795173	0.794933	0.797568	0.795506	0.796227	0.795519	0.800529	0.794912	0.798436	0.798549	0.794767	0.794863	0.794008	0.795133	0.797805	0.797339	0.797745	0.798651	0.798953	0.800315	0.801992	0.798095	0.797218	0.79941	0.796554	0.796742	0.797759	0.795337	0.795569	0.79453	0.797356	0.79643	0.796681	0.799521	0.798317	0.795948	0.796993	0.796847	0.796024	0.798245	0.795286	0.796613	0.796734	0.796475	0.799395	0.797645	0.795859	0.799558	0.797322	0.794263	0.796037	0.794273	0.794067	0.793329	0.793122	0.792771	0.794064	0.792761	0.791853	0.792453	0.795327	0.795385	0.800983	0.802017	0.795419	0.798507	0.797534	0.796288	0.796369	0.797539	0.798461	0.79736	0.797733	0.799346	0.796156	0.796389	0.796249	0.796352	0.79728	0.796867	0.795696	0.796954	0.79542	0.796847	0.7967	0.796867	0.79622	0.794674	0.795394	0.795634	0.796489	0.795872	0.797618	0.79777	0.79651	0.782806	0.78422	0.788155	0.78293	0.785183	0.783012	0.783464	0.785483	0.783006	0.792078	0.785023	0.782713	0.786294	0.797373	0.786347	0.784825	0.801292	0.800427	0.799823	0.799955	0.785037	0.787918	0.784674	0.786552	0.785728	0.786165	0.7863	0.788434	0.79018	0.790182	0.786055	0.788218	0.788944	0.790142	0.790529	0.78861	0.790589	0.786467	0.785271	0.784645	0.784962	0.785009	0.782952	0.780975	0.783761	0.784074	0.785548	0.786987	0.787135	0.782561	0.783799	0.780613	0.799315	0.786752	0.788374	0.787969	0.787676	0.786141	0.78562	0.784941	0.785911	0.790734	0.784697	0.78369	0.784555	0.783239	0.787976	0.788432	0.786139	0.786323	0.785085	0.787178	0.791453	0.784884	0.784475	0.785106	0.784761	0.786089	0.788067	0.786608	0.787044	0.788953	0.784927	0.793031	0.795048	0.79487	0.795323
P_shioyasakiensis_BMC2	0.773898	0.841158	0.843756	0.836091	0.838413	0.873259	0.871243	0.871363	0.899798	0.901303	0.898644	0.899734	0.898389	0.914728	0.914775	0.915806	0.936445	0.939085	0.935092	0.938764	0.939673	0.939369	0.938058	0.938837	0.938686	0.938451	0.956344	0.973967	0.973675	0.975203	0.97525	0.9815	1	0.999988	0.999986	0.999797	0.999764	0.999788	0.966281	0.965475	0.9659	0.965712	0.966691	0.968705	0.971722	0.970612	0.972257	0.797918	0.795713	0.796379	0.796789	0.803908	0.795671	0.79646	0.796038	0.796117	0.799424	0.796152	0.796311	0.794967	0.800587	0.795472	0.7995	0.800484	0.794804	0.795614	0.795212	0.795458	0.796469	0.796156	0.796477	0.796158	0.79656	0.799597	0.80114	0.79845	0.797291	0.798336	0.796349	0.796191	0.79668	0.793689	0.794103	0.795719	0.794725	0.79613	0.796592	0.799602	0.80001	0.796928	0.797551	0.797235	0.79631	0.79879	0.79539	0.797227	0.796355	0.796773	0.799089	0.797196	0.79599	0.79887	0.798148	0.797317	0.799072	0.795569	0.795228	0.793794	0.792902	0.792653	0.792881	0.793137	0.792862	0.793219	0.793836	0.793811	0.800874	0.800788	0.79601	0.796879	0.795518	0.796834	0.796185	0.799084	0.799071	0.796204	0.795686	0.800255	0.796762	0.796586	0.796116	0.796586	0.797244	0.796485	0.796006	0.796876	0.796108	0.796878	0.795935	0.795781	0.796633	0.796381	0.796227	0.795866	0.796235	0.797626	0.796427	0.795565	0.794517	0.779333	0.783792	0.78681	0.782291	0.783626	0.780658	0.780857	0.783896	0.782386	0.78931	0.780302	0.783773	0.782765	0.792894	0.781403	0.781844	0.799751	0.79686	0.797098	0.796845	0.785098	0.785342	0.782661	0.783868	0.782802	0.782595	0.782327	0.788162	0.787176	0.787937	0.784432	0.786044	0.786583	0.786086	0.787352	0.786569	0.789031	0.783512	0.785295	0.783218	0.782947	0.784942	0.782894	0.783251	0.782955	0.781569	0.783816	0.785313	0.78525	0.78168	0.783152	0.783218	0.799932	0.78462	0.782659	0.782842	0.785642	0.783439	0.78443	0.783359	0.782676	0.78898	0.783713	0.782882	0.783578	0.782174	0.784374	0.784663	0.783443	0.783568	0.7839	0.782696	0.789806	0.781912	0.781953	0.782808	0.783435	0.785153	0.785514	0.784305	0.78406	0.784074	0.782492	0.791603	0.79376	0.792852	0.792774
P_shioyasakiensis_BMC3	0.773739	0.841023	0.843414	0.837112	0.838505	0.872917	0.870769	0.870723	0.89946	0.900184	0.899601	0.899651	0.898919	0.914411	0.914831	0.915598	0.936386	0.938624	0.935154	0.938417	0.939185	0.939495	0.938893	0.938483	0.938372	0.938508	0.956301	0.973758	0.972948	0.975366	0.975092	0.98159	0.999967	1	0.999991	0.999701	0.999697	0.999817	0.965927	0.964738	0.965698	0.965586	0.966534	0.969246	0.971295	0.970597	0.972104	0.796973	0.795963	0.796902	0.797444	0.80469	0.795952	0.796373	0.796312	0.796139	0.798996	0.796692	0.796216	0.795709	0.800591	0.795709	0.799712	0.800852	0.79544	0.796736	0.795889	0.796241	0.797536	0.79594	0.797491	0.797971	0.797642	0.799441	0.800707	0.798145	0.79824	0.799801	0.796219	0.797071	0.797046	0.795236	0.795429	0.796907	0.7961	0.796055	0.795884	0.798158	0.79907	0.795879	0.796378	0.795917	0.795716	0.799117	0.796424	0.798268	0.796182	0.796719	0.799784	0.797994	0.796115	0.798114	0.797543	0.796928	0.797211	0.795601	0.79509	0.793104	0.79193	0.793306	0.792742	0.792685	0.792332	0.792505	0.79483	0.794728	0.800509	0.800985	0.7966	0.796809	0.796504	0.796207	0.795891	0.798781	0.798653	0.796088	0.795298	0.800219	0.796915	0.796467	0.795699	0.796963	0.796676	0.795976	0.795839	0.795606	0.796619	0.796818	0.796959	0.795042	0.796056	0.796437	0.796563	0.79688	0.797621	0.797828	0.797442	0.796954	0.795009	0.78022	0.782532	0.785919	0.780956	0.782071	0.779989	0.781645	0.783216	0.781537	0.788319	0.78034	0.784444	0.782245	0.793993	0.780426	0.781075	0.800107	0.796142	0.79614	0.796248	0.783845	0.78322	0.782304	0.783011	0.782286	0.782488	0.782663	0.788244	0.786145	0.787111	0.785474	0.786097	0.786542	0.786463	0.787905	0.786722	0.791336	0.782309	0.786101	0.781735	0.781332	0.78205	0.782265	0.783313	0.78268	0.782005	0.784501	0.784833	0.784114	0.780952	0.782388	0.783037	0.799358	0.784289	0.78455	0.784294	0.785029	0.783471	0.784089	0.783512	0.782996	0.789183	0.784148	0.782627	0.783057	0.780583	0.78405	0.785445	0.784637	0.784631	0.785143	0.78342	0.789474	0.781423	0.781998	0.784033	0.783971	0.785302	0.785432	0.786668	0.784594	0.785284	0.784146	0.792203	0.795591	0.794729	0.794167
