SampleID	GH001	GH002	GH003	GH005	GH008	GH009	GH010	GH013	GH014	GH015	GH016	GH018	GH019	GH020	GH023	GH024	GH025	GH026	GH028	GH029	GH031	GH032	GH033	GH036	GH037	GH039	GH043	GH050	GH053	GH063	GH068	GH073	GH077	GH078	GH081	GH086	GH087	GH088	GH092	GH094	GH097	GH099	GH103	GH104	GH105	GH106	GH108	GH109	GH110	GH114	GH117	GH130	GH141	GH146	GH150	GH166	GH167	GH171	GH177	GH179	PL001	PL005	PL006	PL007	PL012	PL014	PL017	PL018	PL022	PL024	PL025	PL029	PL038	PL040	PL041	PL042
P_CnMc713	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CnMc715	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CnMc737	1	1	2	0	1	0	0	9	0	1	1	2	0	1	6	0	0	0	0	1	0	0	0	0	1	0	7	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_D15MCD2	1	1	2	0	1	0	0	9	0	1	2	2	0	1	5	1	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_DL2H1	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_DL2H22	0	0	3	1	0	0	0	6	0	1	1	7	2	3	6	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_DL2H6	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_DSM17587	2	2	5	0	1	1	0	9	0	1	1	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_EB27	2	1	3	1	1	0	0	7	0	1	2	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_ECSMB14103	2	1	5	0	1	1	0	10	0	1	1	0	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_EKP108	2	1	5	2	2	1	3	9	0	1	2	0	1	0	4	0	0	0	1	0	1	1	0	1	1	0	3	3	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	3	0	0	2	0	0	0	0	1	0	1	0	0	3	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_FE4	2	0	3	0	1	0	0	9	0	1	3	2	0	2	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P_G4	1	0	2	0	1	0	0	5	0	1	1	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_HMSA03	1	0	2	0	0	0	0	4	0	1	1	4	1	5	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_Hal040	1	1	2	0	1	0	0	11	0	1	3	2	0	1	3	1	0	0	0	0	0	0	0	0	1	0	7	3	0	0	0	2	1	0	0	0	1	0	0	0	3	0	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_JC28	1	0	2	0	0	0	0	6	0	1	2	4	1	5	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_JC3	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P_JC31	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P_JW3	1	0	2	1	0	0	0	7	0	1	1	4	1	2	6	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_KMM661	0	1	1	0	1	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
P_M1318928	2	0	3	0	1	0	0	9	0	1	3	2	0	2	5	1	0	0	0	0	0	1	0	0	1	0	8	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_M1400202	0	0	1	0	0	0	0	5	0	1	0	4	1	2	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_M8	1	0	2	0	0	0	0	7	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P_MB47	1	1	2	0	0	0	0	8	0	1	2	2	0	2	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_MEBiC03607	2	0	3	0	1	0	0	9	0	1	2	2	0	1	6	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_MM172	1	0	2	0	0	0	0	7	0	1	1	3	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_MMG024	1	0	3	0	1	0	0	5	0	1	1	2	1	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_McH142	0	0	3	1	0	0	0	5	0	1	1	7	2	3	6	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_McH17	0	0	1	1	0	0	0	5	0	1	0	5	1	3	6	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P_N12309	1	0	2	0	1	0	0	7	0	1	1	3	1	5	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_NBRC102222	2	1	5	0	2	1	3	9	0	1	1	0	0	0	5	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_NBRC12985	2	2	3	1	1	0	0	7	0	1	7	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	2	1	1	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_NJ631	1	0	2	0	0	0	0	6	0	1	2	5	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_OANN1	1	0	2	0	0	0	0	6	0	1	2	5	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_OF5H5	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_OF7H1	1	0	2	0	0	0	0	7	0	1	2	4	1	5	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_OFAV1	2	0	3	0	1	0	0	9	0	1	2	2	0	1	5	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_OOF1S7	0	0	3	1	0	0	0	6	0	1	1	8	1	4	6	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_Of11M6	1	0	2	0	0	0	0	6	0	1	2	4	1	5	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_Of5H6	1	0	2	0	0	0	0	6	0	1	2	4	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_Of7M16	0	0	2	1	0	0	0	7	0	2	1	9	2	3	7	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P_P111	1	1	2	0	1	0	0	9	0	1	4	0	0	0	5	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_P18	1	1	2	0	1	0	0	9	0	1	2	2	0	1	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_P19	1	0	3	0	1	0	0	7	0	1	1	2	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_P94	0	0	2	1	0	0	0	7	0	2	1	9	2	3	6	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
