reference,querry,ani,alignment_coverage,primary_cluster
P_spongiae_UST010723006,P_C2R02,0.772829,0.14403032217308906,0
P_G4,P_SG444,0.772841,0.13748191027496381,0
P_SG4417,P_ruthenica_S2756,0.772861,0.11241507103150093,0
P_C2R02,P_flavipulchra_NCIMB2033,0.772863,0.071354167,0
P_C2R02,P_phenolica_KCTC12086,0.772871,0.096875,0
P_SR451,P_SW010604,0.772881,0.11301369863013698,0
P_tunicata_D2,P_PPB1,0.77291,0.069612591,0
P_SG416,P_CnMc715,0.772918,0.11153552330022919,0
P_C2R02,P_SCSIO43201,0.772957,0.072395833,0
P_C2R02,P_CO348,0.772961,0.069270833,0
P_shioyasakiensis_BMC5,P_C2R02,0.772986,0.15314730694354314,0
P_citrea_DSM8771,P_C2R02,0.772996,0.11043285238623751,0
P_MMG024,P_distincta_22A13,0.77301,0.14397394136807817,0
P_SG455,P_G4,0.773013,0.14214285714285715,0
P_XMcav2N2,P_SG433,0.773048,0.083908656,0
P_C2R02,P_maricaloris_LMG19692,0.773056,0.071354167,0
P_tunicata_D2,P_B95,0.773108,0.10108958837772397,0
P_C2R02,P_Of7M16,0.773126,0.074479167,0
P_G4,P_arctica_NECBIFX2020017,0.773126,0.15991316931982633,0
P_C2R02,P_citrea_S2233,0.773141,0.0890625,0
P_CnMc715,P_SG416,0.773176,0.11086142322097378,0
P_S3178,P_CNAT241,0.773223,0.11440385940730531,0
P_OF5H5,P_SR455,0.773224,0.082658023,0
P_G4,P_SR454,0.773236,0.12156295224312591,0
P_SG448,P_CnMc715,0.773271,0.11474358974358974,0
P_P19,P_KMM661,0.773274,0.13020833333333334,0
P_CnMc715,P_NBRC12985,0.773312,0.12059925093632959,0
P_tunicata_D2,P_DL2H22,0.773317,0.073244552,0
P_G4,P_ECSMB14103,0.773365,0.14399421128798842,0
P_spongiae_SAO44,P_C2R02,0.773377,0.1248527679623086,0
P_BMB,P_C2R02,0.773411,0.07847663,0
P_C2R02,P_phenolica_S1093,0.773428,0.096875,0
P_JC3,P_tunicata_D2,0.773463,0.099944782,0
P_S3178,P_CNAT218,0.773482,0.11233631977946244,0
P_C2R02,P_MMG024,0.773484,0.1125,0
P_303,P_C2R02,0.77349,0.15247776365946633,0
P_P19,P_SG445,0.77349,0.12890625,0
P_C2R02,P_ECSMB14103,0.773498,0.10833333333333334,0
P_125,P_C2R02,0.773499,0.14577464788732394,0
P_SR454,P_G4,0.773502,0.1346456692913386,0
P_XMcav2N2,P_distincta_22A13,0.773502,0.082315454,0
P_ECSMB14103,P_xiamenensis_PSDB,0.773514,0.12527634487840825,0
P_SR451,P_ruthenica_S2756,0.773533,0.10890410958904109,0
P_XMcav2N,P_distincta_22A13,0.773553,0.079660117,0
P_2102,P_C2R02,0.773581,0.15495732107682206,0
P_P94,P_C2R02,0.773616,0.06618705,0
P_neustronica_PAMC28425,P_spongiae_UST010723006,0.773622,0.13144963144963145,0
P_flavipulchra_LMG20361,P_tunicata_D2,0.773649,0.10979060554612337,0
P_P19,P_neustronica_PAMC28425,0.773651,0.138671875,0
P_G4,P_ruthenica_LMG19699,0.773655,0.099855282,0
P_S3178,P_CNAT2181,0.773656,0.11509303928325293,0
P_spongiae_UST010723006,P_SR454,0.773669,0.12823752368919772,0
P_G4,P_aliena_EH1,0.773687,0.13675832127351664,0
P_OANN1,P_tunicata_D2,0.77369,0.10803004043905257,0
P_C2R02,P_phenolica_OBC302,0.7737,0.094791667,0
P_piratica_OCN003,P_C2R02,0.773724,0.13154613466334164,0
P_G4,P_arctica_NECBIFX2020001,0.773738,0.15340086830680175,0
P_P19,P_SG416,0.773746,0.13020833333333334,0
P_spongiae_UST010723006,P_SG445,0.773755,0.1269740998104864,0
P_arctica_NECBIFX2020001,P_luteoviolacea_2ta16,0.773777,0.12330623306233063,0
P_distincta_22A13,P_spongiae_SAO44,0.773784,0.14936886395511922,0
P_C2R02,P_2CM32C,0.773797,0.10833333333333334,0
P_P111,P_C2R02,0.773797,0.14979195561719832,0
P_XMcav11Q,P_SR455,0.773799,0.09010503,0
P_SDCH90,P_C2R02,0.773819,0.15257469802924348,0
P_DL2H22,P_tunicata_D2,0.773822,0.066115702,0
P_tunicata_D2,P_maricaloris_LMG19692,0.773836,0.1053268765133172,0
P_EB27,P_rubra_S2471,0.773846,0.094630872,0
P_CNC920,P_C2R02,0.773852,0.065071055,0
P_DSM,P_G4,0.773857,0.14953271028037382,0
P_SR451,P_PPB1,0.773889,0.10205479452054794,0
P_shioyasakiensis_BMC2,P_C2R02,0.773898,0.15444516547696302,0
P_B95,P_tunicata_D2,0.7739,0.08097561,0
P_C2R02,P_flavipulchra_ATCCBAA314,0.773919,0.070833333,0
P_SR418,P_C2R02,0.773925,0.15374759769378604,0
P_EKP108,P_R96,0.773927,0.10249494268374916,0
P_phenolica_S3663,P_C2R02,0.773931,0.1199213630406291,0
P_distincta_22A13,P_XMcav2N2,0.773937,0.10308555399719495,0
P_C2R02,P_SR455,0.773957,0.09375,0
P_CNAT218,P_SR448,0.773963,0.13333333333333333,0
P_C2R02,P_S3260,0.773964,0.11197916666666667,0
P_G4,P_SR417,0.773973,0.1548480463096961,0
P_distincta_22A13,P_UG32,0.773975,0.13464235624123422,0
P_G4,P_C2R02,0.773977,0.14905933429811866,0
P_tunicata_D2,P_P19,0.774014,0.14709443099273609,0
P_P19,P_S3260,0.774023,0.14778645833333334,0
P_C2R02,P_G4,0.774041,0.1078125,0
P_C2R02,P_rubra_S1946,0.774042,0.044270833333333336,0
P_SG445,P_piratica_OCN003,0.774047,0.12664092664092663,0
P_SG418,P_C2R02,0.774052,0.14549938347718866,0
P_CO325X,P_SG416,0.774053,0.11861861861861862,0
P_G4,P_distincta_16SW7,0.774053,0.15340086830680175,0
P_DL2H6,P_SG435,0.774054,0.11969339622641509,0
P_SG444,P_CnMc715,0.774101,0.10927390366642703,0
P_SG433,P_luteoviolacea_2ta16,0.77411,0.11610738255033556,0
P_CNAT218,P_SR414,0.774119,0.12878787878787878,0
P_Of11M6,P_tunicata_D2,0.774127,0.098964327,0
P_P19,P_SG444,0.774134,0.1328125,0
P_distincta_22A13,P_piratica_OCN003,0.774134,0.1402524544179523,0
P_XMcav2N2,P_SR432,0.774162,0.078066914,0
P_C2R02,P_A22,0.774165,0.069791667,0
P_2CM32C,P_C2R02,0.774172,0.1516728624535316,0
P_phenolica_S3898,P_tunicata_D2,0.774181,0.11688311688311688,0
P_SG445,P_P19,0.774187,0.1444015444015444,0
P_G4,P_2CM32C,0.774205,0.14399421128798842,0
P_SR442,P_CnMc715,0.774208,0.11485557083906466,0
P_C2R02,P_ruthenica_S2756,0.774215,0.0453125,0
P_P19,P_aliena_SW19,0.774216,0.13216145833333334,0
P_G4,P_ruthenica_S3245,0.774231,0.097684515,0
P_SR451,P_CnMc713,0.774233,0.11301369863013698,0
P_2103,P_C2R02,0.774237,0.15934426229508197,0
P_XMcav2N2,P_arctica_NECBIFX2020001,0.774244,0.075942645,0
P_P19,P_SG431,0.774245,0.13606770833333334,0
P_SG452,P_SW010604,0.774251,0.11808873720136519,0
P_distincta_22A13,P_UG31,0.774256,0.13394109396914447,0
P_neustronica_PAMC28425,P_MM172,0.774259,0.0995086,0
P_C2R02,P_CO325X,0.774276,0.046354167,0
P_maricaloris_LMG19692,P_tunicata_D2,0.774288,0.098351648,0
P_P19,P_agarivorans_S816,0.774302,0.15299479166666666,0
P_XMcav2N2,P_distincta_16SW7,0.774311,0.079660117,0
P_Of5H6,P_arctica_A3712,0.774314,0.11675675675675676,0
P_SG416,P_MMG024,0.774317,0.14209320091673033,0
P_SR456,P_OOF1S7,0.774321,0.10068365444375388,0
P_tunicata_D2,P_OOF1S7,0.774332,0.068401937,0
P_SG451,P_M1400202,0.774353,0.14207650273224043,0
P_C2R02,P_MM172,0.774354,0.046354167,0
P_SR451,P_B95,0.774357,0.13287671232876713,0
P_P19,P_SR454,0.774357,0.130859375,0
P_EKP108,P_XMcav2N2,0.774366,0.09844909,0
P_G4,P_SR433,0.77437,0.15991316931982633,0
P_Of11M6,P_neustronica_PAMC28425,0.774371,0.13060989643268126,0
P_arctica_NECBIFX2020017,P_OF7H1,0.774373,0.14746227709190673,0
P_SR448,P_PPB1,0.774373,0.10819262038774234,0
P_EKP108,P_UG32,0.774389,0.126770061,0
P_spongiae_UST010723006,P_SG416,0.774402,0.12381554011370816,0
P_Of11M6,P_distincta_22A13,0.774408,0.11852704257767549,0
P_rubra_S1946,P_tunicata_D2,0.774408,0.061907418,0
P_tunicata_D2,P_CO342X,0.774436,0.10351089588377724,0
P_C2R02,P_spongiae_UST010723006,0.774438,0.11041666666666666,0
P_C2R02,P_SR448,0.774441,0.11979166666666667,0
P_C2R02,P_BMB,0.774445,0.067708333,0
P_BZA4,P_C2R02,0.774447,0.15477792732166892,0
P_SG444,P_ruthenica_S2756,0.77445,0.10711718188353703,0
P_tunicata_D2,P_CNAT241,0.774456,0.079903148,0
P_SG416,P_CnMc713,0.774466,0.11382734912146678,0
P_spongiae_UST010723006,P_neustronica_PAMC28425,0.774466,0.13644977890082122,0
P_CNAT218,P_SG448,0.774467,0.13106060606060607,0
P_C2R02,P_SK20,0.774471,0.11875,0
P_DL2H22,P_C2R02,0.774474,0.045179063360881545,0
P_CO325X,P_SG444,0.774474,0.12012012012012012,0
P_Of5H6,P_arctica_NECBIFX2020001,0.774482,0.11351351351351352,0
P_SR411,P_ruthenica_S2756,0.774482,0.10893098782138025,0
P_spongiae_SAO44,P_SG445,0.774485,0.1160188457008245,0
P_P19,P_SG433,0.774513,0.13997395833333334,0
P_SG4417,P_MM172,0.774517,0.11179740580605312,0
P_neustronica_PAMC28425,P_P19,0.774519,0.13206388206388206,0
P_SG4417,P_JC3,0.774521,0.14762198888202593,0
P_P19,P_fuliginea_KMM216,0.774525,0.138671875,0
P_SG444,P_CO325X,0.774526,0.10783608914450037,0
P_G4,P_distincta_22A13,0.774528,0.15267727930535455,0
P_CNAT218,P_NBRC12985,0.774546,0.11515151515151516,0
P_SR451,P_rubra_S2471,0.774546,0.094520548,0
P_ruthenica_S3245,P_C2R02,0.774555,0.064112012,0
P_MMG024,P_SG416,0.774563,0.13289902280130292,0
P_neustronica_PAMC28425,P_ruthenica_LMG19699,0.77457,0.10135135135135136,0
P_tunicata_D2,P_phenolica_S3898,0.774572,0.1089588377723971,0
P_C2R02,P_tetradonis_CSB01KR,0.774572,0.109375,0
P_M1400202,P_tunicata_D2,0.774572,0.1118421052631579,0
P_spongiae_UST010723006,P_SR442,0.774581,0.1244472520530638,0
P_spongiae_UST010723006,P_SR415,0.77459,0.12823752368919772,0
P_SG445,P_MMG024,0.774595,0.1498069498069498,0
P_XMcav2N2,P_SG456,0.774598,0.07700478,0
P_EKP108,P_UG31,0.774602,0.126770061,0
P_126,P_C2R02,0.774607,0.15466666666666667,0
P_SR448,P_CnMc713,0.774611,0.10631644777986242,0
P_CNAT218,P_SR442,0.774611,0.12045454545454545,0
P_SG448,P_CnMc713,0.774619,0.1141025641025641,0
P_SR442,P_SW010604,0.774619,0.11279229711141678,0
P_1131a,P_C2R02,0.774625,0.14275766016713093,0
P_spongiae_UST010723006,P_distincta_22A13,0.774629,0.13455464308275428,0
P_XMcav2N2,P_EKP108,0.774631,0.078597982,0
P_SG416,P_spongiae_SAO44,0.774632,0.1436210847975554,0
P_arctica_NECBIFX2020001,P_DL2H6,0.774633,0.1348238482384824,0
P_SG455,P_CO325X,0.77464,0.10571428571428572,0
P_SG448,P_JC3,0.774644,0.1576923076923077,0
P_ruthenica_S3245,P_SG455,0.774645,0.10832719233603537,0
P_CnMc715,P_translucida_KMM520,0.774653,0.12659176029962546,0
P_P19,P_1161b,0.774662,0.150390625,0
P_aliena_SW19,P_CO325X,0.774673,0.10101010101010101,0
P_C2R02,P_126,0.774674,0.1234375,0
P_G4,P_fuliginea_KMM216,0.774682,0.138205499,0
P_C2R02,P_citrea_DSM8771,0.774692,0.097395833,0
P_SR411,P_SW010604,0.774717,0.10487144790257104,0
P_DL2H6,P_SR411,0.774721,0.11143867924528301,0
P_G4,P_SR437,0.774722,0.15195369030390737,0
P_SG412,P_McH17,0.774723,0.137409201,0
P_SG451,P_ruthenica_S2756,0.774729,0.11612021857923498,0
P_G4,P_APM04,0.77473,0.14399421128798842,0
P_SG416,P_B95,0.77473,0.12910618792971734,0
P_tunicata_D2,P_CNAT218,0.77474,0.078087167,0
P_XMcav2N2,P_SR435,0.774753,0.077535847,0
P_P19,P_SK20,0.774763,0.14973958333333334,0
P_SG451,P_SW010604,0.774764,0.11475409836065574,0
P_G4,P_SR432,0.774765,0.15629522431259044,0
P_distincta_22A13,P_spongiae_UST010723006,0.774778,0.14516129032258066,0
P_JC31,P_arctica_NECBIFX0059,0.774785,0.11146496815286625,0
P_arctica_NECBIFX2020001,P_rubra_S2471,0.774785,0.085365854,0
P_SG416,P_DL2H6,0.774788,0.1466768525592055,0
P_HMSA03,P_tunicata_D2,0.77479,0.094812165,0
P_tunicata_D2,P_phenolica_S1189,0.774791,0.11561743341404358,0
P_SG436,P_piratica_OCN003,0.774793,0.13135068153655513,0
P_G4,P_fuliginea_S2292,0.774794,0.13748191027496381,0
P_1CM17D,P_ruthenica_S2756,0.774796,0.1262592343854936,0
P_arctica_NECBIFX2020017,P_Of11M6,0.774801,0.13786008230452676,0
P_SR451,P_P19,0.774802,0.13493150684931507,0
P_SR455,P_R96,0.774803,0.10702702702702703,0
P_G4,P_SR435,0.774803,0.15340086830680175,0
P_C2R02,P_P111,0.774807,0.11354166666666667,0
P_P19,P_distincta_22A13,0.77482,0.13802083333333334,0
P_SR411,P_UG32,0.774821,0.12922868741542626,0
P_SG433,P_JC3,0.774822,0.14630872483221477,0
P_CNAT2181,P_SG448,0.774822,0.1340909090909091,0
P_Ps84H4,P_C2R02,0.774826,0.14321766561514196,0
P_G4,P_SG451,0.774828,0.14978292329956586,0
P_SR451,P_ruthenica_S3245,0.774828,0.10890410958904109,0
P_C2R02,P_ruthenica_S3245,0.77483,0.04375,0
P_C2R02,P_CO133X,0.774832,0.11145833333333334,0
P_tunicata_D2,P_CNAT2181,0.774833,0.080508475,0
P_CnMc715,P_SR455,0.774834,0.084644195,0
P_B95,P_SG444,0.774835,0.087317073,0
P_SG4417,P_CO325X,0.774838,0.1099444101297097,0
P_ECSMB14103,P_G4,0.774842,0.14812085482682388,0
P_viridis_BBR56,P_distincta_22A13,0.774844,0.076798269,0
P_SG412,P_DL2H6,0.774846,0.14891041162227603,0
P_SG434,P_SW010604,0.77485,0.10990502035278155,0
P_C2R02,P_R96,0.77486,0.043229166666666666,0
P_distincta_22A13,P_rubra_S2471,0.77486,0.09256662,0
P_distincta_22A13,P_ruthenica_S2756,0.77486,0.10448807854137447,0
P_CNAT218,P_SG4417,0.774863,0.13106060606060607,0
P_shioyasakiensis_LC2,P_C2R02,0.77487,0.15568475452196381,0
P_G4,P_aliena_SW19,0.774872,0.13748191027496381,0
P_tunicata_D2,P_flavipulchra_LMG20361,0.774873,0.10653753026634383,0
P_EKP108,P_XMcav2N,0.774887,0.099797707,0
P_tunicata_D2,P_Of11M6,0.774901,0.099878935,0
P_C2R02,P_1161b,0.774902,0.11666666666666667,0
P_S3260,P_CnMc715,0.774902,0.15083333333333335,0
P_MMG024,P_SG455,0.774902,0.13550488599348534,0
P_1161b,P_spongiae_SAO44,0.774911,0.17424826522744796,0
P_C2R02,P_2CM41L,0.774912,0.11145833333333334,0
P_SG418,P_piratica_OCN003,0.774914,0.1344019728729963,0
P_SR432,P_spongiae_SAO44,0.774916,0.13885088919288646,0
P_XMcav2N2,P_SG451,0.774917,0.080722252,0
P_2CM32C,P_xiamenensis_PSDB,0.774918,0.12193308550185873,0
P_SG444,P_CnMc713,0.774922,0.11071171818835371,0
P_shioyasakiensis_M1400201,P_C2R02,0.774931,0.15870786516853932,0
P_OFAV1,P_C2R02,0.774951,0.13882063882063883,0
P_C2R02,P_125,0.774956,0.10520833333333333,0
P_C2R02,P_EKP108,0.774957,0.12552083333333333,0
P_SR415,P_M1400202,0.774958,0.13900414937759337,0
P_2CM32C,P_MM172,0.774958,0.1241635687732342,0
P_P19,P_SG452,0.77498,0.13216145833333334,0
P_spongiae_UST010723006,P_SG438,0.774983,0.12950094756790903,0
P_neustronica_PAMC28425,P_Of11M6,0.774984,0.1296068796068796,0
P_tunicata_D2,P_Of5H6,0.774984,0.10411622276029056,0
P_Of11M6,P_SR442,0.77499,0.11565017261219793,0
P_neustronica_PAMC28425,P_NJ631,0.774993,0.14189189189189189,0
P_SG434,P_ruthenica_S2756,0.774996,0.1112618724559023,0
P_neustronica_PAMC28425,P_CnMc715,0.774999,0.096437346,0
P_SR436,P_Of5H6,0.775,0.145556333,0
P_2CM32C,P_ruthenica_S2756,0.775001,0.12267657992565056,0
P_ruthenica_S3245,P_SG444,0.775004,0.10832719233603537,0
P_SR442,P_spongiae_SAO44,0.775019,0.14442916093535077,0
P_XMcav2N2,P_2CM36K,0.775021,0.089219331,0
P_SR448,P_ruthenica_S3245,0.775025,0.10006253908692933,0
P_OANN1,P_distincta_22A13,0.775032,0.11785095320623917,0
P_aliena_SW19,P_P19,0.775039,0.13063973063973064,0
P_P19,P_SG448,0.775039,0.142578125,0
P_CO348,P_AC163,0.775041,0.10891647855530474,0
P_XMcav2N,P_distincta_ATCC700518,0.775043,0.079660117,0
P_Of5H6,P_arctica_NECBIFX2020017,0.775045,0.11837837837837838,0
P_125,P_tunicata_D2,0.775046,0.1619718309859155,0
P_1161b,P_P19,0.775047,0.16962220508866616,0
P_ruthenica_S2756,P_SG416,0.775063,0.11832946635730858,0
P_MMG024,P_KMM661,0.775066,0.13094462540716612,0
P_bablabjr011,P_C2R02,0.775067,0.13263979193758127,0
P_XMcav2N2,P_distincta_LMG14908,0.775068,0.079660117,0
P_tunicata_D2,P_BMB,0.775078,0.10411622276029056,0
P_SG445,P_G4,0.77508,0.13127413127413126,0
P_SG441,P_McH17,0.775081,0.13770294648226097,0
P_1161b,P_spongiae_UST010723006,0.775081,0.16808018504240554,0
P_DSM,P_P19,0.775085,0.13371675053918045,0
P_SG448,P_DL2H6,0.775086,0.15512820512820513,0
P_TB25,P_M1400202,0.775086,0.12254160363086233,0
P_neustronica_PAMC28425,P_ruthenica_S2756,0.775094,0.10073710073710074,0
P_G4,P_SR411,0.775095,0.15340086830680175,0
P_G4,P_SG452,0.775098,0.14544138929088277,0
P_OF5H5,P_tunicata_D2,0.775098,0.096164236,0
P_ruthenica_S2756,P_KMM661,0.7751,0.11987625676720805,0
P_Of5H6,P_tunicata_D2,0.7751,0.096216216,0
P_C2R02,P_17a,0.775102,0.10520833333333333,0
P_KMM661,P_P19,0.775103,0.13703443429374562,0
P_Of5H6,P_SR411,0.775106,0.11135135135135135,0
P_MMG024,P_arctica_A3712,0.775106,0.14462540716612377,0
P_spongiae_UST010723006,P_SG455,0.775107,0.12634238787113075,0
P_G4,P_SR415,0.775108,0.15195369030390737,0
P_BZB3,P_C2R02,0.77511,0.11372549019607843,0
P_XMcav2N2,P_SR451,0.77511,0.081784387,0
P_peptidolytica_F1250A1,P_distincta_22A13,0.775111,0.11435239206534423,0
P_C2R02,P_CO302Y,0.775113,0.1109375,0
P_galatheae_S4498,P_C2R02,0.775114,0.075630252,0
P_G4,P_distincta_LMG14908,0.775115,0.15991316931982633,0
P_JC3,P_NBRC12985,0.775116,0.11871893981225842,0
P_G4,P_neustronica_PAMC28425,0.775118,0.15340086830680175,0
P_G4,P_distincta_ATCC700518,0.775119,0.1577424023154848,0
P_XMcav2N2,P_distincta_ATCC700518,0.775119,0.080722252,0
P_ruthenica_S3245,P_2CM32C,0.775128,0.10759027266028003,0
P_BZB3,P_tunicata_D2,0.775128,0.12483660130718954,0
P_C2R02,P_undina_NEM01,0.775134,0.12395833333333334,0
P_SG435,P_PPB1,0.775143,0.097477846,0
P_XMcav2N2,P_SG453,0.775146,0.077535847,0
P_SR416,P_P19,0.77515,0.1308298001211387,0
P_2CM32C,P_ruthenica_LMG19699,0.775151,0.11895910780669144,0
P_CnMc715,P_SR436,0.775155,0.12134831460674157,0
P_CNAT218,P_EKP108,0.775157,0.11818181818181818,0
P_SG455,P_C2R02,0.775166,0.1707142857142857,0
P_2CM37A,P_G4,0.775167,0.15294117647058825,0
P_P19,P_SR437,0.775172,0.134765625,0
P_SR442,P_CO325X,0.775175,0.10866574965612105,0
P_C2R02,P_undina_NEM02,0.775177,0.12291666666666666,0
P_CnMc713,P_SG452,0.775184,0.1245311327831958,0
P_SR436,P_DL2H6,0.775185,0.1364590622813156,0
P_SG416,P_CNC920,0.775188,0.1092436974789916,0
P_SG416,P_Of11M6,0.77519,0.1443850267379679,0
P_ruthenica_S2756,P_SG415,0.775195,0.13534416086620263,0
P_G4,P_SG418,0.775198,0.1577424023154848,0
P_arctica_NECBIFX2020001,P_XMcav2N2,0.775198,0.093495935,0
P_2CM41L,P_C2R02,0.775204,0.147239264,0
P_ruthenica_S3245,P_SG416,0.77521,0.10464259395725865,0
P_SG431,P_UG31,0.775214,0.133422282,0
P_SR451,P_CNC920,0.775216,0.1095890410958904,0
P_SG444,P_ruthenica_S3245,0.775216,0.10496046010064701,0
P_S3178,P_CnMc715,0.775219,0.11440385940730531,0
P_SR437,P_CnMc715,0.775219,0.11295911295911296,0
P_ruthenica_S3245,P_EKP108,0.775222,0.10980103168754606,0
P_P19,P_ruthenica_S3245,0.775224,0.091145833,0
P_SG418,P_G4,0.775226,0.13255240443896424,0
P_SR414,P_C2R02,0.775227,0.14012738853503184,0
P_CNAT218,P_SR435,0.775228,0.11666666666666667,0
P_P19,P_distincta_KMM3548,0.775228,0.13346354166666666,0
P_SR451,P_CNAT218,0.775235,0.11164383561643836,0
P_ruthenica_S2756,P_SG455,0.775238,0.11910286156225831,0
P_APM04,P_G4,0.775239,0.14461315979754158,0
P_C2R02,P_neustronica_PAMC28425,0.77524,0.12604166666666666,0
P_distincta_22A13,P_MM172,0.775242,0.10308555399719495,0
P_Of5H6,P_SR435,0.775244,0.11081081081081082,0
P_CO325X,P_SR417,0.775253,0.12237237237237238,0
P_M8,P_distincta_22A13,0.775254,0.11475409836065574,0
P_17a,P_galatheae_S4498,0.775254,0.15636105188343993,0
P_Of5H6,P_distincta_22A13,0.775256,0.11135135135135135,0
P_neustronica_PAMC28425,P_BMB,0.775257,0.14066339066339067,0
P_translucida_KMM520,P_P19,0.775258,0.14905933429811866,0
P_C2R02,P_CNAT241,0.77526,0.046354167,0
P_phenolica_S1093,P_C2R02,0.775262,0.11836734693877551,0
P_SR448,P_CNC920,0.775262,0.098811757,0
P_C2R02,P_SCSIO,0.775266,0.11302083333333333,0
P_CNAT218,P_arctica_NECBIFX2020017,0.775266,0.11818181818181818,0
P_Of11M6,P_SG435,0.775269,0.12255466052934408,0
P_neustronica_PAMC28425,P_CnMc713,0.77527,0.096437346,0
P_ruthenica_S2756,P_SR448,0.775273,0.13534416086620263,0
P_maricaloris_LMG19692,P_SR455,0.775277,0.085164835,0
P_SG4417,P_SW010604,0.775278,0.10500308832612724,0
P_P19,P_2CM36K,0.775279,0.150390625,0
P_S2893,P_G4,0.775279,0.14684813753581663,0
P_distincta_22A13,P_Of7M16,0.775281,0.11781206171107994,0
P_SR418,P_P19,0.775281,0.13709160794362588,0
P_CNAT218,P_SG445,0.775281,0.12878787878787878,0
P_R96,P_arctica_NECBIFX0059,0.775282,0.07480916,0
P_S3260,P_ruthenica_LMG19699,0.775293,0.1575,0
P_distincta_22A13,P_MMG024,0.775296,0.14656381486676018,0
P_agarivorans_DSM14585,P_C2R02,0.775299,0.14795244385733158,0
P_C2R02,P_SR415,0.775299,0.12708333333333333,0
P_P19,P_SiA1,0.775303,0.15234375,0
P_spongiae_SAO44,P_arctica_NECBIFX0059,0.775311,0.12073027090694935,0
P_C2R02,P_2103,0.775312,0.115625,0
P_SG452,P_ruthenica_S2756,0.775312,0.1174061433447099,0
