genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
P_shioyasakiensis_LC2.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_M1400201.fna,0_30,0.050000000000000044,average,fastANI,0
P_ostereae_hOe124.fna,0_31,0.050000000000000044,average,fastANI,0
P_ostereae_hOe125.fna,0_31,0.050000000000000044,average,fastANI,0
P_ostereae_hOe66.fna,0_31,0.050000000000000044,average,fastANI,0
P_SG411.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG412.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG415.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG418.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG436.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG437.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG441.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG4417.fna,0_32,0.050000000000000044,average,fastANI,0
P_SG448.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR414.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR416.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR418.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR445.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR448.fna,0_32,0.050000000000000044,average,fastANI,0
P_SR456.fna,0_32,0.050000000000000044,average,fastANI,0
P_neustronica_SM1927.fna,0_32,0.050000000000000044,average,fastANI,0
P_rhizosphaerae_hCg42.fna,0_32,0.050000000000000044,average,fastANI,0
P_neustronica_PAMC28425.fna,0_33,0.050000000000000044,average,fastANI,0
P_2CM36K.fna,0_34,0.050000000000000044,average,fastANI,0
P_S3173.fna,0_34,0.050000000000000044,average,fastANI,0
P_S3260.fna,0_34,0.050000000000000044,average,fastANI,0
P_SCSIO.fna,0_34,0.050000000000000044,average,fastANI,0
P_SCSIO11900.fna,0_34,0.050000000000000044,average,fastANI,0
P_SK20.fna,0_34,0.050000000000000044,average,fastANI,0
P_SiA1.fna,0_34,0.050000000000000044,average,fastANI,0
P_kknpp56.fna,0_34,0.050000000000000044,average,fastANI,0
P_tetradonis_CSB01KR.fna,0_34,0.050000000000000044,average,fastANI,0
P_1161b.fna,0_35,0.050000000000000044,average,fastANI,0
P_Scap03.fna,0_35,0.050000000000000044,average,fastANI,0
P_scap25.fna,0_35,0.050000000000000044,average,fastANI,0
P_scap26.fna,0_35,0.050000000000000044,average,fastANI,0
P_undina_DSM6065.fna,0_35,0.050000000000000044,average,fastANI,0
P_undina_NEM01.fna,0_35,0.050000000000000044,average,fastANI,0
P_undina_NEM02.fna,0_35,0.050000000000000044,average,fastANI,0
P_SK18.fna,0_36,0.050000000000000044,average,fastANI,0
P_KMM661.fna,0_37,0.050000000000000044,average,fastANI,0
P_SG445.fna,0_37,0.050000000000000044,average,fastANI,0
P_SR454.fna,0_37,0.050000000000000044,average,fastANI,0
P_translucida_KMM520.fna,0_37,0.050000000000000044,average,fastANI,0
P_SG416.fna,0_38,0.050000000000000044,average,fastANI,0
P_SG444.fna,0_38,0.050000000000000044,average,fastANI,0
P_SG455.fna,0_38,0.050000000000000044,average,fastANI,0
P_aliena_EH1.fna,0_38,0.050000000000000044,average,fastANI,0
P_aliena_SW19.fna,0_38,0.050000000000000044,average,fastANI,0
P_fuliginea_KMM216.fna,0_39,0.050000000000000044,average,fastANI,0
P_fuliginea_S2292.fna,0_39,0.050000000000000044,average,fastANI,0
P_AC163.fna,0_40,0.050000000000000044,average,fastANI,0
P_EKP108.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG431.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG433.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG434.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG435.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG438.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG451.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG452.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG453.fna,0_40,0.050000000000000044,average,fastANI,0
P_SG456.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR411.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR415.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR417.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR432.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR433.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR435.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR436.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR437.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR442.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR451.fna,0_40,0.050000000000000044,average,fastANI,0
P_SR455.fna,0_40,0.050000000000000044,average,fastANI,0
P_TB25.fna,0_40,0.050000000000000044,average,fastANI,0
P_distincta_16SW7.fna,0_40,0.050000000000000044,average,fastANI,0
P_distincta_22A13.fna,0_40,0.050000000000000044,average,fastANI,0
P_distincta_ATCC700518.fna,0_40,0.050000000000000044,average,fastANI,0
P_distincta_KMM3548.fna,0_40,0.050000000000000044,average,fastANI,0
P_distincta_LMG14908.fna,0_40,0.050000000000000044,average,fastANI,0
P_EB27.fna,0_41,0.050000000000000044,average,fastANI,0
P_arctica_NECBIFX0059.fna,0_41,0.050000000000000044,average,fastANI,0
P_arctica_A3712.fna,0_42,0.050000000000000044,average,fastANI,0
P_arctica_NECBIFX2020001.fna,0_42,0.050000000000000044,average,fastANI,0
P_arctica_NECBIFX2020017.fna,0_42,0.050000000000000044,average,fastANI,0
P_2CM32C.fna,0_43,0.050000000000000044,average,fastANI,0
P_APM04.fna,0_43,0.050000000000000044,average,fastANI,0
P_DSM.fna,0_43,0.050000000000000044,average,fastANI,0
P_ECSMB14103.fna,0_43,0.050000000000000044,average,fastANI,0
P_1131a.fna,0_44,0.050000000000000044,average,fastANI,0
P_125.fna,0_44,0.050000000000000044,average,fastANI,0
P_17a.fna,0_44,0.050000000000000044,average,fastANI,0
P_130.fna,0_45,0.050000000000000044,average,fastANI,0
P_1CM17D.fna,0_45,0.050000000000000044,average,fastANI,0
P_2CM37A.fna,0_45,0.050000000000000044,average,fastANI,0
P_2CM41L.fna,0_45,0.050000000000000044,average,fastANI,0
P_P111.fna,0_45,0.050000000000000044,average,fastANI,0
P_S2893.fna,0_45,0.050000000000000044,average,fastANI,0
P_agarivorans_DSM14585.fna,0_45,0.050000000000000044,average,fastANI,0
P_agarivorans_NW4327.fna,0_45,0.050000000000000044,average,fastANI,0
P_agarivorans_S816.fna,0_45,0.050000000000000044,average,fastANI,0
P_NBRC102222.fna,0_46,0.050000000000000044,average,fastANI,0
P_espejiana_DSM9414.fna,0_46,0.050000000000000044,average,fastANI,0
P_NBRC12985.fna,0_47,0.050000000000000044,average,fastANI,0
P_S3178.fna,0_47,0.050000000000000044,average,fastANI,0
P_phenolica_S1093.fna,0_48,0.050000000000000044,average,fastANI,0
P_phenolica_S1189.fna,0_48,0.050000000000000044,average,fastANI,0
P_phenolica_S3898.fna,0_48,0.050000000000000044,average,fastANI,0
P_phenolica_KCTC12086.fna,0_49,0.050000000000000044,average,fastANI,0
P_phenolica_OBC302.fna,0_49,0.050000000000000044,average,fastANI,0
P_BZB3.fna,0_50,0.050000000000000044,average,fastANI,0
P_phenolica_S3663.fna,0_51,0.050000000000000044,average,fastANI,0
P_spongiae_SAO44.fna,0_52,0.050000000000000044,average,fastANI,0
P_spongiae_UST010723006.fna,0_52,0.050000000000000044,average,fastANI,0
P_MMG024.fna,0_53,0.050000000000000044,average,fastANI,0
P_P19.fna,0_53,0.050000000000000044,average,fastANI,0
P_G4.fna,0_54,0.050000000000000044,average,fastANI,0
P_piratica_OCN003.fna,0_55,0.050000000000000044,average,fastANI,0
P_tunicata_D2.fna,0_56,0.050000000000000044,average,fastANI,0
P_C2R02.fna,0_57,0.050000000000000044,average,fastANI,0
