Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
P_ACER1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.84	36.36	5028115	0	170	170	90735	90735	29577	29577	200826	200826	41.2	3.02	89.19	11	4617	0	743	8	1	0	0
P_APAL1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.74	10.00	4706552	0	110	110	83166	83166	42786	42786	255256	255256	40.7	2.37	89.33	11	4214	0	744	7	1	0	0
P_APM04	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4151098	0	2	2	3457294	3457294	2075549	2075549	3457294	3457294	39.8	0.16	87.87	11	3701	0	751	1	0	0	0
P_B7P1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.32	0.00	4707973	0	178	178	63044	63044	26449	26449	240339	240339	41.3	3.14	88.62	11	4307	0	739	11	1	1	0
P_B95	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.68	0.00	6189459	1475	26	41	642787	525518	238056	150926	1712498	1168927	41.5	3.90	87.71	11	5247	0	740	12	0	0	0
P_BMB	c__Gammaproteobacteria (UID4787)	26	752	296	99.97	0.28	0.00	5385996	0	237	237	98569	98569	22725	22725	381997	381997	43.3	2.76	88.68	11	4723	1	749	1	1	0	0
P_BZA4	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.98	0.00	4680735	0	150	150	67908	67908	31204	31204	240414	240414	41.3	2.64	88.76	11	4262	0	744	6	1	1	0
P_BZB3	c__Gammaproteobacteria (UID4787)	26	752	296	99.32	0.68	0.00	4631896	0	25	25	278106	278106	185275	185275	523244	523244	40.8	1.57	89.19	11	4090	4	745	3	0	0	0
P_BZK2	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.70	0.00	4802731	0	85	85	142110	142110	56502	56502	288985	288985	40.9	2.66	89.67	11	4282	0	744	8	0	0	0
P_C2R02	c__Gammaproteobacteria (UID4761)	52	693	297	99.96	2.33	8.33	5847385	2227	57	68	157238	146657	102585	85958	500446	396532	34.8	2.15	88.35	11	5105	2	681	9	1	0	0
P_CNAT218	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.34	0.00	3982401	0	13	13	679303	679303	306338	306338	791491	791491	47.5	1.73	90.63	11	3610	0	691	2	0	0	0
P_CNAT2181	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.34	0.00	3982526	0	13	13	539285	539285	306348	306348	791491	791491	47.5	1.73	90.63	11	3611	0	691	2	0	0	0
P_CNAT241	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.34	0.00	3981999	0	15	15	539285	539285	265466	265466	791491	791491	47.5	1.67	90.64	11	3611	0	691	2	0	0	0
P_CNC920	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.89	0.00	4042632	0	17	17	681970	681970	237801	237801	805009	805009	47.4	3.36	90.66	11	3700	1	747	4	0	0	0
P_CO109Y	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.25	0.00	4589896	0	78	78	297666	297666	58844	58844	523833	523833	41.3	1.20	89.88	11	4076	0	749	3	0	0	0
P_CO133X	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4444444	0	55	55	398869	398869	80808	80808	907290	907290	40.9	2.84	90.39	11	4005	0	750	2	0	0	0
P_CO302Y	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4443050	0	52	52	322967	322967	85443	85443	907290	907290	40.9	2.78	90.42	11	4003	0	750	2	0	0	0
P_CO325X	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.89	0.00	4061348	0	57	57	236743	236743	71251	71251	593470	593470	47.2	2.25	90.35	11	3725	0	748	4	0	0	0
P_CO342X	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.23	0.00	5365721	0	122	122	214299	214299	43981	43981	550994	550994	43.3	5.14	88.86	11	4680	1	749	2	0	0	0
P_CO348	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.94	0.00	5416014	0	106	106	211179	211179	51094	51094	503294	503294	43.2	2.56	88.75	11	4653	0	746	6	0	0	0
P_Cn537	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.99	0.00	4829916	0	92	92	170938	170938	52499	52499	1053247	1053247	40.9	3.52	89.24	11	4362	0	746	6	0	0	0
P_CnMc713	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.89	0.00	4027566	0	15	15	680903	680903	268504	268504	827737	827737	47.5	1.59	90.60	11	3693	1	747	4	0	0	0
P_CnMc715	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.89	0.00	4028090	0	15	15	680890	680890	268539	268539	826216	826216	47.5	2.00	90.59	11	3690	1	747	4	0	0	0
P_CnMc737	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.84	0.00	4892851	0	41	41	332503	332503	119337	119337	926755	926755	41.2	3.40	89.44	11	4374	0	743	9	0	0	0
P_D15MCD2	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.28	0.00	4558732	0	3	3	3634734	3634734	1519577	1519577	3634734	3634734	41.3	0.34	88.98	11	4065	1	742	9	0	0	0
P_DL2H1	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.19	0.00	5640907	0	82	82	158008	158008	68791	68791	383215	383215	43.2	2.70	88.76	11	4893	1	749	2	0	0	0
P_DL2H22	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.25	0.00	5508409	0	40	40	400651	400651	137710	137710	684470	684470	49.0	3.71	88.50	11	4727	0	750	2	0	0	0
P_DL2H6	c__Gammaproteobacteria (UID4787)	26	752	296	99.29	0.19	0.00	5601975	0	324	324	29714	29714	17290	17290	120467	120467	43.3	2.60	88.89	11	4962	3	747	2	0	0	0
P_DSM	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4190548	0	12	12	728006	728006	349212	349212	1931316	1931316	39.7	0.86	88.87	11	3721	0	751	1	0	0	0
P_EB27	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4526035	0	37	37	216976	216976	122325	122325	566534	566534	39.0	3.10	88.27	11	3971	0	751	1	0	0	0
P_ECSMB14103	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4107405	0	32	32	413937	413937	128356	128356	1079592	1079592	39.7	1.18	88.98	11	3702	0	751	1	0	0	0
P_EKP108	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4525022	0	73	73	146029	146029	61986	61986	522830	522830	39.2	2.54	88.49	11	3980	0	751	1	0	0	0
P_FE4	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4455557	0	2	2	3561116	3561116	2227778	2227778	3561116	3561116	40.8	0.49	89.27	11	3901	0	750	2	0	0	0
P_G4	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	2.05	25.00	4404483	0	179	179	44093	44093	24606	24606	248104	248104	39.6	1.92	89.95	11	4114	0	683	9	1	0	0
P_HMSA03	c__Gammaproteobacteria (UID4787)	26	752	296	99.75	0.20	0.00	5251709	3442	209	260	106872	77697	25127	20185	182574	159825	43.1	2.60	87.70	11	4739	2	748	2	0	0	0
P_Hal040	c__Gammaproteobacteria (UID4787)	26	752	296	99.67	0.25	0.00	4665450	0	2	2	3788806	3788806	2332725	2332725	3788806	3788806	41.5	0.22	88.93	11	4282	4	745	3	0	0	0
P_JC28	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	5533243	24	40	40	509001	509001	138331	138330	1226393	1226390	43.2	2.65	88.63	11	4813	0	751	1	0	0	0
P_JC3	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	1.03	0.00	5572526	1290	96	110	269683	196838	58047	50647	449568	449568	43.1	4.33	88.57	11	4829	1	744	6	1	0	0
P_JC31	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.03	0.00	5655084	0	2	2	4348314	4348314	2827542	2827542	4348314	4348314	43.2	0.40	87.95	11	4806	0	745	6	1	0	0
P_JW3	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.56	0.00	4854417	1198	33	49	387647	287912	147103	99045	1013714	670768	43.3	2.88	89.36	11	4181	0	748	4	0	0	0
P_KMM661	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.07	0.00	4274777	0	3	3	3521200	3521200	1424925	1424925	3521200	3521200	40.2	0.88	86.93	11	3856	0	747	5	0	0	0
P_M1318928	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.96	0.00	4547042	0	285	285	31604	31604	15954	15954	174287	174287	40.8	2.68	90.02	11	4105	0	747	5	0	0	0
P_M1400202	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.80	33.33	5194877	6	433	433	21018	21018	11997	11997	73709	73709	43.1	2.32	88.38	11	4620	1	745	6	0	0	0
P_M8	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.44	0.00	5674823	0	2	2	4390426	4390426	2837411	2837411	4390426	4390426	43.3	0.43	88.02	11	4885	1	747	3	1	0	0
P_MB47	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4545585	0	31	31	380452	380452	146631	146631	523224	523224	41.1	0.82	90.14	11	4047	0	750	2	0	0	0
P_MEBiC03607	c__Gammaproteobacteria (UID4787)	26	752	296	99.96	0.65	0.00	4561899	0	2	2	3732376	3732376	2280949	2280949	3732376	3732376	41.0	0.42	89.08	11	4014	1	747	4	0	0	0
P_MM172	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.34	0.00	4096570	3	52	52	136664	136664	78780	78780	344652	344652	47.3	3.46	90.68	11	3832	0	691	2	0	0	0
P_MMG024	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.36	0.00	4692268	0	70	70	204960	204960	67032	67032	387120	387120	40.9	2.29	89.48	11	4334	0	690	3	0	0	0
P_McH142	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.68	0.00	5800003	27	84	85	211702	211702	69047	68235	539734	539734	47.5	4.41	88.35	11	4846	1	749	1	1	0	0
P_McH17	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.80	0.00	5134549	0	59	59	145975	145975	87026	87026	313663	313663	42.5	2.20	87.46	11	4324	0	742	9	1	0	0
P_N12309	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4627470	0	2	2	3727959	3727959	2313735	2313735	3727959	3727959	40.9	0.40	89.66	11	4143	0	750	2	0	0	0
P_NBRC102222	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4401192	0	95	95	106399	106399	46328	46328	176026	176026	40.1	2.29	89.25	11	3949	0	750	2	0	0	0
P_NBRC12985	c__Gammaproteobacteria (UID4787)	26	752	296	99.83	0.68	0.00	4504693	0	141	141	73021	73021	31948	31948	191567	191567	39.3	2.33	89.06	11	3995	1	748	3	0	0	0
P_NJ631	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	5349905	0	55	55	315122	315122	97271	97271	970668	970668	43.4	4.50	89.22	11	4591	0	750	2	0	0	0
P_OANN1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.24	0.00	5273335	0	54	54	145119	145119	97654	97654	441983	441983	43.3	2.59	88.92	11	4495	0	750	2	0	0	0
P_OF5H5	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.19	0.00	5643420	0	61	61	287717	287717	92515	92515	618802	618802	43.3	3.37	88.74	11	4880	0	750	2	0	0	0
P_OF7H1	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.68	0.00	5478367	0	45	45	244624	244624	121741	121741	476428	476428	43.2	2.79	88.72	11	4693	1	745	6	0	0	0
P_OFAV1	c__Gammaproteobacteria (UID4787)	26	752	296	99.95	3.71	4.17	5041072	0	103	103	88113	88113	48942	48942	249203	249203	40.2	3.01	89.09	11	4665	1	727	24	0	0	0
P_OOF1S7	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.59	0.00	5626742	0	50	50	236636	236636	112534	112534	682182	682182	48.6	3.76	88.57	11	4723	1	745	6	0	0	0
P_Of11M6	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.99	0.00	5403095	0	130	130	72696	72696	41562	41562	273701	273701	43.1	2.69	88.81	11	4707	1	747	3	1	0	0
P_Of5H6	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.19	0.00	5640652	0	63	63	277387	277387	89534	89534	615160	615160	43.2	3.07	88.74	11	4878	0	750	2	0	0	0
P_Of7M16	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.59	0.00	6599529	0	70	70	160569	160569	94278	94278	467240	467240	42.3	3.18	87.42	11	5627	0	749	3	0	0	0
P_P111	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.71	0.00	4377754	666	31	48	530751	212092	141217	91189	674955	550037	41.0	2.49	88.51	11	3894	0	748	4	0	0	0
P_P18	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.54	0.00	4488653	520	29	43	290362	160606	154781	104375	805319	541836	41.2	1.12	90.08	11	3998	0	746	6	0	0	0
P_P19	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.84	0.00	4808051	0	211	211	97278	97278	22786	22786	277950	277950	40.7	2.88	89.13	11	4435	0	686	7	0	0	0
P_P94	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.56	0.00	6295190	1158	30	42	335200	286624	209839	149857	1005767	665175	42.3	3.02	87.19	11	5380	0	749	3	0	0	0
P_PA2MD11	c__Gammaproteobacteria (UID4787)	26	752	296	99.83	0.23	0.00	4549994	1640	49	66	176926	166524	92857	68914	621775	444404	41.0	2.48	89.81	11	4070	1	749	2	0	0	0
P_PAST1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.56	0.00	4968088	0	142	142	87010	87010	34986	34986	201144	201144	41.2	3.21	89.17	11	4549	0	748	3	1	0	0
P_PPB1	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.37	25.00	5915516	122	121	122	194141	192396	48888	48486	526779	526779	47.4	4.12	88.18	11	4974	1	749	1	1	0	0
P_Ps84H4	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.74	0.00	4877892	0	84	84	150613	150613	58070	58070	527385	527385	40.9	3.40	89.31	11	4381	0	745	6	1	0	0
P_R96	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.68	0.00	5937012	1172	26	38	679646	335896	228346	156206	1370900	839980	47.8	4.58	88.43	11	4861	1	749	1	1	0	0
P_S2893	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.70	0.00	4324388	0	185	185	164500	164500	23375	23375	285104	285104	40.9	2.65	88.36	11	3874	0	748	4	0	0	0
P_S3173	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	1.01	40.00	4225459	0	282	282	55864	55864	14983	14983	207640	207640	40.2	2.67	88.66	11	3897	1	746	5	0	0	0
P_S3178	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	2.25	0.00	4716463	0	685	685	62659	62659	6885	6885	229989	229989	39.5	2.42	88.34	11	4522	0	735	17	0	0	0
P_S3260	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.81	0.00	3955647	0	436	436	45591	45591	9072	9072	124255	124255	40.6	1.98	87.98	11	3848	0	737	15	0	0	0
P_SCSIO	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.84	66.67	3709012	0	2	2	3052300	3052300	1854506	1854506	3052300	3052300	40.4	0.55	86.59	11	3400	1	748	3	0	0	0
P_SCSIO11900	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	3728429	3726	10	22	3083318	291427	372842	169304	3083318	571977	40.5	2.30	86.21	11	3377	0	751	1	0	0	0
P_SCSIO43088	c__Gammaproteobacteria (UID4787)	26	752	296	97.97	1.94	5.26	4801583	0	2	2	3894662	3894662	2400791	2400791	3894662	3894662	41.7	0.13	89.08	11	4293	7	739	3	2	0	1
P_SCSIO43101	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.31	0.00	4546505	0	2	2	3714263	3714263	2273252	2273252	3714263	3714263	41.0	0.43	89.09	11	4037	0	749	3	0	0	0
P_SCSIO43201	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.46	0.00	5177910	0	3	3	3932172	3932172	1725970	1725970	3932172	3932172	42.6	0.44	86.56	11	4322	0	743	8	1	0	0
P_SDCH90	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.24	10.00	4722159	0	2	2	3822719	3822719	2361079	2361079	3822719	3822719	41.5	0.56	88.94	11	4182	0	744	7	1	0	0
P_SG411	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.65	0.00	5133416	800	151	159	90596	88645	33996	32280	412291	412291	40.3	3.39	88.10	11	4500	0	748	4	0	0	0
P_SG412	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.65	0.00	5132333	710	143	151	164977	146915	35890	33984	370319	370319	40.3	2.37	88.12	11	4529	0	748	4	0	0	0
P_SG415	c__Gammaproteobacteria (UID4787)	26	752	296	99.98	0.88	0.00	5228669	810	351	360	42465	42450	14896	14521	144051	144051	40.2	2.16	88.03	11	4806	1	743	8	0	0	0
P_SG416	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.07	20.00	4404863	410	371	376	26091	26091	11872	11713	82052	82052	39.0	2.17	86.56	11	4089	1	746	5	0	0	0
P_SG418	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.70	0.00	5164951	1200	276	288	78967	76697	18713	17929	213084	213084	40.4	3.02	87.84	11	4645	0	747	5	0	0	0
P_SG431	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4604306	700	108	115	107827	105574	42632	40031	453242	453242	39.1	2.35	88.10	11	4115	0	749	3	0	0	0
P_SG433	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.38	20.00	4578409	700	105	112	198251	174939	43603	40872	393387	393387	39.1	2.72	88.21	11	4086	0	747	5	0	0	0
P_SG434	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.29	0.00	4508099	1400	90	104	197887	143375	50089	43333	464356	464356	39.1	3.15	88.12	11	3983	0	749	3	0	0	0
P_SG435	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4481222	600	54	60	225433	151791	82985	74677	512765	419923	39.2	2.60	88.09	11	3926	0	751	1	0	0	0
P_SG436	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.08	0.00	5095578	800	247	255	80833	70996	20629	19979	184370	184370	40.3	2.77	88.08	11	4553	1	744	7	0	0	0
P_SG437	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.69	0.00	5228993	500	258	263	74825	72310	20267	19880	199965	199965	40.3	2.69	87.95	11	4731	0	747	5	0	0	0
P_SG438	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4396872	600	58	64	373145	218750	75808	68691	1158427	969928	39.2	3.61	88.45	11	3925	0	750	2	0	0	0
P_SG441	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.05	9.09	5354796	1100	335	346	79277	79277	15984	15473	258620	255956	40.2	3.00	87.54	11	4868	1	740	11	0	0	0
P_SG4417	c__Gammaproteobacteria (UID4787)	26	752	296	99.96	0.44	0.00	4992209	800	128	136	114763	108084	39001	36701	365036	293052	40.3	2.86	87.66	11	4369	1	745	6	0	0	0
P_SG444	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4428421	800	238	246	52427	52265	18606	17998	116002	116002	39.0	2.20	86.46	11	3993	0	751	1	0	0	0
P_SG445	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.76	0.00	3985176	1100	86	97	175934	174339	46339	41072	514168	485579	40.1	2.09	87.94	11	3567	0	748	4	0	0	0
P_SG448	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.26	0.00	4810322	1000	109	119	150379	150379	44131	40414	571962	335828	40.4	2.54	87.98	11	4161	0	749	3	0	0	0
P_SG451	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4502067	1000	105	115	147362	123294	42876	39139	518536	349177	39.1	2.87	87.63	11	4036	0	750	2	0	0	0
P_SG452	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4506971	600	92	98	150427	131131	48988	45983	280979	280979	39.1	2.45	87.98	11	3981	0	751	1	0	0	0
P_SG453	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.71	16.67	4742893	1100	95	106	233817	173472	49925	44733	524499	493595	39.1	2.99	88.14	11	4215	0	746	6	0	0	0
P_SG455	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4432194	1000	224	234	59165	56706	19786	18936	134491	116002	39.0	2.28	86.37	11	3985	0	751	1	0	0	0
P_SG456	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.16	12.50	4732170	800	207	215	54254	51963	22860	22006	184587	184587	39.1	2.41	88.21	11	4238	0	744	8	0	0	0
P_SK18	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	3964471	0	87	87	156463	156463	45568	45568	390917	390917	40.2	2.84	88.52	11	3564	0	750	2	0	0	0
P_SK20	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.01	22.22	4140616	0	188	188	98513	98513	22024	22024	330856	330856	40.3	2.44	87.25	11	3869	0	743	9	0	0	0
P_SMS1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.78	0.00	5809575	0	74	74	196259	196259	78507	78507	470587	470587	43.0	3.42	88.64	11	4788	0	747	5	0	0	0
P_SR411	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4521137	400	71	75	182468	173715	63677	60276	337420	337420	39.1	2.28	87.85	11	4028	0	750	2	0	0	0
P_SR414	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.36	0.00	5299396	700	104	111	134266	121221	50955	47736	465076	375692	40.3	2.71	88.19	11	4631	0	748	4	0	0	0
P_SR415	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4395912	700	59	66	310790	191159	74506	66594	747230	475741	39.2	2.92	88.45	11	3923	0	750	2	0	0	0
P_SR416	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.74	0.00	5243740	1300	284	297	77622	73341	18463	17651	267407	267407	40.3	3.16	87.81	11	4769	0	746	6	0	0	0
P_SR417	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4571201	1100	71	82	323207	216280	64383	55732	590572	557031	39.2	2.25	88.04	11	4037	0	749	3	0	0	0
P_SR418	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.36	0.00	4820316	1500	129	144	152146	94689	37366	33464	383959	314887	40.4	2.35	87.94	11	4163	0	747	5	0	0	0
P_SR432	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.26	0.00	4462957	600	70	76	169523	143020	63756	58715	358872	358872	39.1	2.86	88.20	11	3954	0	749	3	0	0	0
P_SR433	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4448354	1300	53	66	222140	142248	83931	67379	534498	392150	39.2	2.21	87.92	11	3961	0	751	1	0	0	0
P_SR435	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4523123	600	106	112	120650	109162	42670	40379	328265	328265	39.2	2.52	87.98	11	4046	0	750	2	0	0	0
